name,EDNN,DTWNN,TSBF,SAXVSM,SMTS,PROP,COTE,BOSS,D-BoTSW,BoP,LTS_Bagnall,ABS,LTS,name_bis
ToeSegmentation2,0.219,0.182,0.114,0.079,-1,0.093,0.049,0.04,0.069,0.088,0.057,0.062,0.069,ToeSegmentation2
Trace,0.222,0,0.019,0.008,0,0.004,0,0,0,0.023,0.004,0,0,Trace
Two_Patterns,0.094,0,0.026,0.111,0.001,0,0,0.009,0.001,0.056,0.006,0.003,0.004,Two_Patterns
TwoLeadECG,0.265,0.082,0.09,0.084,0.022,0.042,0.017,0.015,0.009,0.099,0.006,0.001,0.003,TwoLeadECG
uWaveGestureLibrary_X,0.26,0.272,0.166,0.467,0.175,0.195,0.169,0.247,0.208,0.411,0.196,-1,0.198,uWaveGestureLibrary_X
uWaveGestureLibrary_Y,0.335,0.377,0.254,0.562,0.252,0.269,0.234,0.339,0.265,0.489,0.282,-1,-1,uWaveGestureLibrary_Y
uWaveGestureLibrary_Z,0.339,0.343,0.224,0.519,0.246,0.274,0.24,0.305,0.26,0.433,0.263,-1,-1,uWaveGestureLibrary_Z
UWaveGestureLibraryAll,0.057,0.104,0.056,0.199,-1,0.032,0.035,0.056,0.13,0.186,0.32,-1,-1,UWaveGestureLibraryAll
wafer,0.005,0.016,0.004,0.004,0,0.003,0.001,0.001,0.004,0.003,0.004,0.004,0.004,wafer
Wine,0.107,0.116,0.121,0.122,-1,0.113,0.096,0.088,0.426,0.106,0.476,0.5,0.5,Wine
WordsSynonyms,0.385,0.351,0.331,0.545,0.407,0.222,0.252,0.341,0.309,0.477,0.419,-1,0.317,WordsSynonyms
Worms,0.509,0.416,0.332,0.407,-1,0.356,0.275,0.265,0.343,0.383,0.358,-1,0.39,Worms
WormsTwoClass,0.376,0.318,0.245,0.279,-1,0.283,0.215,0.19,0.315,0.256,0.264,0.273,0.299,WormsTwoClass
yoga,0.16,0.151,0.165,0.164,0.085,0.115,0.102,0.09,0.142,0.138,0.167,0.161,0.154,yoga
